Train epoch 0, loss: 0.817332, MAE: 9.338353, GCC-MAE: 237994.109375, ACC: 0.348048, GCC-ACC: 2.609201

Val epoch 0, loss: 0.710633, MAE: 9.586490, GCC MAE: 250894.250000, ACC: 0.242991, GCC ACC: 2.766355

Train epoch 1, loss: 0.469734, MAE: 7.091521, GCC-MAE: 239912.859375, ACC: 0.446561, GCC-ACC: 2.537175

Val epoch 1, loss: 0.732829, MAE: 9.435466, GCC MAE: 246907.203125, ACC: 0.299065, GCC ACC: 2.607476

Train epoch 2, loss: 0.495158, MAE: 7.133306, GCC-MAE: 240577.281250, ACC: 0.455855, GCC-ACC: 2.535316

Val epoch 2, loss: 0.434185, MAE: 7.179797, GCC MAE: 253705.187500, ACC: 0.406542, GCC ACC: 2.443925

Train epoch 3, loss: 0.438733, MAE: 6.730178, GCC-MAE: 243540.562500, ACC: 0.477695, GCC-ACC: 2.493030

Val epoch 3, loss: 0.681930, MAE: 9.243340, GCC MAE: 240343.718750, ACC: 0.285047, GCC ACC: 2.644860

Train epoch 4, loss: 0.388336, MAE: 6.276102, GCC-MAE: 248600.015625, ACC: 0.504182, GCC-ACC: 2.479554

Val epoch 4, loss: 0.707001, MAE: 9.306834, GCC MAE: 233640.046875, ACC: 0.317757, GCC ACC: 2.700934

Train epoch 5, loss: 0.419407, MAE: 6.490870, GCC-MAE: 236422.609375, ACC: 0.490706, GCC-ACC: 2.615706

Val epoch 5, loss: 2.215025, MAE: 16.691658, GCC MAE: 239635.187500, ACC: 0.228972, GCC ACC: 2.560748

Train epoch 6, loss: 0.424229, MAE: 6.535618, GCC-MAE: 233946.578125, ACC: 0.506041, GCC-ACC: 2.682156

Val epoch 6, loss: 0.350670, MAE: 6.383595, GCC MAE: 252269.875000, ACC: 0.467290, GCC ACC: 2.855140

Train epoch 7, loss: 0.381316, MAE: 6.137972, GCC-MAE: 241284.468750, ACC: 0.524628, GCC-ACC: 2.497677

Val epoch 7, loss: 0.742718, MAE: 9.695677, GCC MAE: 254577.390625, ACC: 0.285047, GCC ACC: 2.523364

Train epoch 8, loss: 0.377656, MAE: 6.076239, GCC-MAE: 236146.015625, ACC: 0.520911, GCC-ACC: 2.644981

Val epoch 8, loss: 0.209199, MAE: 4.631370, GCC MAE: 240443.843750, ACC: 0.630841, GCC ACC: 2.640187

Train epoch 9, loss: 0.354158, MAE: 5.956846, GCC-MAE: 244570.140625, ACC: 0.529275, GCC-ACC: 2.428439

Val epoch 9, loss: 0.748994, MAE: 9.822248, GCC MAE: 251755.218750, ACC: 0.280374, GCC ACC: 2.630841

Train epoch 10, loss: 0.355630, MAE: 5.895595, GCC-MAE: 235522.328125, ACC: 0.529275, GCC-ACC: 2.639405

Val epoch 10, loss: 0.537572, MAE: 8.229156, GCC MAE: 267329.968750, ACC: 0.369159, GCC ACC: 2.359813

Train epoch 11, loss: 0.345120, MAE: 5.775487, GCC-MAE: 242679.812500, ACC: 0.562268, GCC-ACC: 2.504647

Val epoch 11, loss: 0.617382, MAE: 9.258162, GCC MAE: 267868.093750, ACC: 0.261682, GCC ACC: 2.359813

Train epoch 12, loss: 0.309817, MAE: 5.527757, GCC-MAE: 236264.250000, ACC: 0.568309, GCC-ACC: 2.592007

Val epoch 12, loss: 0.968556, MAE: 12.036321, GCC MAE: 271722.625000, ACC: 0.140187, GCC ACC: 2.172897

Train epoch 13, loss: 0.362175, MAE: 5.954562, GCC-MAE: 245754.515625, ACC: 0.546004, GCC-ACC: 2.502788

Val epoch 13, loss: 0.962227, MAE: 11.778359, GCC MAE: 248423.171875, ACC: 0.149533, GCC ACC: 2.785047

Train epoch 14, loss: 0.335645, MAE: 5.803838, GCC-MAE: 241052.531250, ACC: 0.547398, GCC-ACC: 2.520911

Val epoch 14, loss: 1.353178, MAE: 12.727127, GCC MAE: 237139.625000, ACC: 0.285047, GCC ACC: 2.855140

Train epoch 15, loss: 0.341338, MAE: 5.770891, GCC-MAE: 245911.531250, ACC: 0.556227, GCC-ACC: 2.529740

Val epoch 15, loss: 0.771316, MAE: 10.674371, GCC MAE: 254130.890625, ACC: 0.168224, GCC ACC: 2.588785

Train epoch 16, loss: 0.328060, MAE: 5.704063, GCC-MAE: 248465.187500, ACC: 0.555762, GCC-ACC: 2.500929

Val epoch 16, loss: 0.508876, MAE: 7.970464, GCC MAE: 255389.390625, ACC: 0.364486, GCC ACC: 2.719626

Train epoch 17, loss: 0.299412, MAE: 5.407865, GCC-MAE: 236480.359375, ACC: 0.569703, GCC-ACC: 2.554833

Val epoch 17, loss: 0.760203, MAE: 9.752703, GCC MAE: 250430.796875, ACC: 0.313084, GCC ACC: 2.537383

Train epoch 18, loss: 0.308492, MAE: 5.418278, GCC-MAE: 240641.093750, ACC: 0.579461, GCC-ACC: 2.647769

Val epoch 18, loss: 0.790372, MAE: 10.284858, GCC MAE: 244767.781250, ACC: 0.233645, GCC ACC: 2.719626

Train epoch 19, loss: 0.296538, MAE: 5.353099, GCC-MAE: 240109.734375, ACC: 0.582714, GCC-ACC: 2.586431

Val epoch 19, loss: 0.297465, MAE: 5.797324, GCC MAE: 256279.765625, ACC: 0.514019, GCC ACC: 2.420561

Train epoch 20, loss: 0.287899, MAE: 5.239514, GCC-MAE: 241455.359375, ACC: 0.603160, GCC-ACC: 2.610595

Val epoch 20, loss: 0.922166, MAE: 10.799580, GCC MAE: 255052.312500, ACC: 0.252336, GCC ACC: 2.467290

Train epoch 21, loss: 0.286436, MAE: 5.269523, GCC-MAE: 247816.875000, ACC: 0.573885, GCC-ACC: 2.463755

