Train epoch 0, loss: 0.930696, MAE: 10.049223, GCC-MAE: 236158.875000, ACC: 0.294610, GCC-ACC: 2.624535

Val epoch 0, loss: 0.517315, MAE: 7.831481, GCC MAE: 250765.937500, ACC: 0.369159, GCC ACC: 2.598131

Train epoch 1, loss: 0.567937, MAE: 7.697220, GCC-MAE: 235388.578125, ACC: 0.406599, GCC-ACC: 2.563197

Val epoch 1, loss: 0.446914, MAE: 6.956779, GCC MAE: 256935.890625, ACC: 0.425234, GCC ACC: 2.434579

Train epoch 2, loss: 0.480929, MAE: 7.084852, GCC-MAE: 234215.937500, ACC: 0.446097, GCC-ACC: 2.597584

Val epoch 2, loss: 0.466438, MAE: 6.914616, GCC MAE: 250116.625000, ACC: 0.467290, GCC ACC: 2.551402

Train epoch 3, loss: 0.443604, MAE: 6.798842, GCC-MAE: 245167.218750, ACC: 0.446561, GCC-ACC: 2.471189

Val epoch 3, loss: 0.554129, MAE: 7.381153, GCC MAE: 252388.218750, ACC: 0.453271, GCC ACC: 2.523364

Train epoch 4, loss: 0.449518, MAE: 6.699067, GCC-MAE: 239919.343750, ACC: 0.471654, GCC-ACC: 2.533457

Val epoch 4, loss: 0.303056, MAE: 5.597029, GCC MAE: 270653.562500, ACC: 0.495327, GCC ACC: 2.537383

Train epoch 5, loss: 0.406060, MAE: 6.268743, GCC-MAE: 234893.359375, ACC: 0.524628, GCC-ACC: 2.646375

Val epoch 5, loss: 0.287562, MAE: 5.267288, GCC MAE: 265836.656250, ACC: 0.542056, GCC ACC: 2.686916

Train epoch 6, loss: 0.397210, MAE: 6.251989, GCC-MAE: 239439.406250, ACC: 0.500465, GCC-ACC: 2.504182

Val epoch 6, loss: 0.360405, MAE: 5.734341, GCC MAE: 246911.859375, ACC: 0.570093, GCC ACC: 2.700934

Train epoch 7, loss: 0.398795, MAE: 6.155446, GCC-MAE: 236529.562500, ACC: 0.526022, GCC-ACC: 2.613383

Val epoch 7, loss: 0.309925, MAE: 5.591652, GCC MAE: 266448.375000, ACC: 0.546729, GCC ACC: 2.490654

Train epoch 8, loss: 0.358479, MAE: 5.930336, GCC-MAE: 243745.656250, ACC: 0.532063, GCC-ACC: 2.510688

Val epoch 8, loss: 0.261344, MAE: 5.033747, GCC MAE: 251176.437500, ACC: 0.588785, GCC ACC: 2.598131

Train epoch 9, loss: 0.412794, MAE: 6.241843, GCC-MAE: 242991.031250, ACC: 0.519052, GCC-ACC: 2.485595

Val epoch 9, loss: 0.298183, MAE: 5.255820, GCC MAE: 266102.062500, ACC: 0.621495, GCC ACC: 2.411215

Train epoch 10, loss: 0.373638, MAE: 5.993275, GCC-MAE: 237303.078125, ACC: 0.527416, GCC-ACC: 2.555762

Val epoch 10, loss: 0.297057, MAE: 5.497633, GCC MAE: 268618.187500, ACC: 0.546729, GCC ACC: 2.364486

Train epoch 11, loss: 0.353662, MAE: 5.742924, GCC-MAE: 242781.343750, ACC: 0.554368, GCC-ACC: 2.588290

Val epoch 11, loss: 0.341343, MAE: 5.788134, GCC MAE: 257417.953125, ACC: 0.551402, GCC ACC: 2.490654

Train epoch 12, loss: 0.335961, MAE: 5.592205, GCC-MAE: 238245.562500, ACC: 0.569238, GCC-ACC: 2.573420

Val epoch 12, loss: 0.319721, MAE: 5.187787, GCC MAE: 261304.296875, ACC: 0.607477, GCC ACC: 2.518692

Train epoch 13, loss: 0.329469, MAE: 5.514275, GCC-MAE: 245717.437500, ACC: 0.572026, GCC-ACC: 2.579461

Val epoch 13, loss: 0.306851, MAE: 5.023086, GCC MAE: 250438.890625, ACC: 0.672897, GCC ACC: 2.598131

Train epoch 14, loss: 0.338365, MAE: 5.549596, GCC-MAE: 241936.562500, ACC: 0.577138, GCC-ACC: 2.565985

Val epoch 14, loss: 0.276599, MAE: 4.745849, GCC MAE: 243762.015625, ACC: 0.663551, GCC ACC: 2.570093

Train epoch 15, loss: 0.315757, MAE: 5.409745, GCC-MAE: 234820.343750, ACC: 0.583643, GCC-ACC: 2.548792

Val epoch 15, loss: 0.280900, MAE: 5.282161, GCC MAE: 264227.531250, ACC: 0.602804, GCC ACC: 2.336448

Train epoch 16, loss: 0.319571, MAE: 5.378984, GCC-MAE: 242794.890625, ACC: 0.592937, GCC-ACC: 2.471654

Val epoch 16, loss: 0.294200, MAE: 5.181478, GCC MAE: 247056.515625, ACC: 0.598131, GCC ACC: 2.528037

Train epoch 17, loss: 0.313454, MAE: 5.334436, GCC-MAE: 235756.515625, ACC: 0.597584, GCC-ACC: 2.595725

Val epoch 17, loss: 0.229704, MAE: 4.628253, GCC MAE: 245623.109375, ACC: 0.649533, GCC ACC: 2.742990

Train epoch 18, loss: 0.308100, MAE: 5.320026, GCC-MAE: 238254.437500, ACC: 0.590613, GCC-ACC: 2.562732

Val epoch 18, loss: 0.228358, MAE: 4.449765, GCC MAE: 255409.562500, ACC: 0.658879, GCC ACC: 2.448598

Train epoch 19, loss: 0.279489, MAE: 5.004633, GCC-MAE: 241500.468750, ACC: 0.618959, GCC-ACC: 2.547398

Val epoch 19, loss: 0.197572, MAE: 4.004827, GCC MAE: 268028.718750, ACC: 0.738318, GCC ACC: 2.462617

Train epoch 20, loss: 0.302008, MAE: 5.200908, GCC-MAE: 242736.375000, ACC: 0.598978, GCC-ACC: 2.535316

Val epoch 20, loss: 0.262955, MAE: 4.453993, GCC MAE: 264004.468750, ACC: 0.700935, GCC ACC: 2.514019

Train epoch 21, loss: 0.279721, MAE: 5.012966, GCC-MAE: 239650.468750, ACC: 0.606413, GCC-ACC: 2.573885

Val epoch 21, loss: 0.253551, MAE: 4.643765, GCC MAE: 262128.718750, ACC: 0.672897, GCC ACC: 2.542056

Train epoch 22, loss: 0.287363, MAE: 5.020450, GCC-MAE: 243065.765625, ACC: 0.619888, GCC-ACC: 2.523234

Val epoch 22, loss: 0.274910, MAE: 4.659520, GCC MAE: 262181.750000, ACC: 0.686916, GCC ACC: 2.724299

Train epoch 23, loss: 0.272922, MAE: 4.937493, GCC-MAE: 246518.296875, ACC: 0.623606, GCC-ACC: 2.451673

Val epoch 23, loss: 0.296065, MAE: 4.790432, GCC MAE: 239757.906250, ACC: 0.682243, GCC ACC: 2.649533

Train epoch 24, loss: 0.263191, MAE: 4.777160, GCC-MAE: 242825.156250, ACC: 0.651952, GCC-ACC: 2.582249

Val epoch 24, loss: 0.239174, MAE: 4.457555, GCC MAE: 266223.281250, ACC: 0.691589, GCC ACC: 2.303738

Train epoch 25, loss: 0.271807, MAE: 4.889852, GCC-MAE: 241725.375000, ACC: 0.623606, GCC-ACC: 2.539963

Val epoch 25, loss: 0.211596, MAE: 4.178380, GCC MAE: 280907.406250, ACC: 0.710280, GCC ACC: 2.070093

Train epoch 26, loss: 0.278260, MAE: 4.896649, GCC-MAE: 246533.390625, ACC: 0.640799, GCC-ACC: 2.475372

Val epoch 26, loss: 0.211837, MAE: 4.122237, GCC MAE: 261045.953125, ACC: 0.714953, GCC ACC: 2.565420

Train epoch 27, loss: 0.261880, MAE: 4.804269, GCC-MAE: 243898.937500, ACC: 0.629647, GCC-ACC: 2.625000

Val epoch 27, loss: 0.219409, MAE: 4.148705, GCC MAE: 263929.968750, ACC: 0.724299, GCC ACC: 2.299065

Train epoch 28, loss: 0.275657, MAE: 4.879748, GCC-MAE: 241895.593750, ACC: 0.634758, GCC-ACC: 2.619889

Val epoch 28, loss: 0.198329, MAE: 3.937165, GCC MAE: 240448.031250, ACC: 0.752336, GCC ACC: 2.542056

Train epoch 29, loss: 0.277856, MAE: 4.925526, GCC-MAE: 234448.734375, ACC: 0.623141, GCC-ACC: 2.643123

Val epoch 29, loss: 0.181682, MAE: 3.690959, GCC MAE: 244787.734375, ACC: 0.766355, GCC ACC: 2.607476

