Train epoch 0, loss: 1.139512, MAE: 11.596189, GCC-MAE: 242807.187500, ACC: 0.250929, GCC-ACC: 2.556691

Val epoch 0, loss: 0.581768, MAE: 7.801750, GCC MAE: 256087.531250, ACC: 0.415888, GCC ACC: 2.556075

Train epoch 1, loss: 0.610495, MAE: 8.422243, GCC-MAE: 243787.250000, ACC: 0.358271, GCC-ACC: 2.519052

Val epoch 1, loss: 0.482207, MAE: 7.653725, GCC MAE: 265880.937500, ACC: 0.369159, GCC ACC: 2.345794

Train epoch 2, loss: 0.582611, MAE: 8.256785, GCC-MAE: 242531.625000, ACC: 0.344331, GCC-ACC: 2.592007

Val epoch 2, loss: 0.453279, MAE: 6.978546, GCC MAE: 254934.390625, ACC: 0.462617, GCC ACC: 2.742990

Train epoch 3, loss: 0.514695, MAE: 7.710768, GCC-MAE: 233827.656250, ACC: 0.395446, GCC-ACC: 2.595260

Val epoch 3, loss: 0.448919, MAE: 6.925178, GCC MAE: 249964.328125, ACC: 0.485981, GCC ACC: 2.630841

Train epoch 4, loss: 0.476764, MAE: 7.323832, GCC-MAE: 238146.765625, ACC: 0.428439, GCC-ACC: 2.488383

Val epoch 4, loss: 0.310292, MAE: 5.913036, GCC MAE: 223353.468750, ACC: 0.504673, GCC ACC: 2.878505

Train epoch 5, loss: 0.440588, MAE: 6.868226, GCC-MAE: 237717.875000, ACC: 0.462361, GCC-ACC: 2.577137

Val epoch 5, loss: 0.326444, MAE: 5.610727, GCC MAE: 249020.734375, ACC: 0.532710, GCC ACC: 2.476635

Train epoch 6, loss: 0.431153, MAE: 6.800982, GCC-MAE: 235866.187500, ACC: 0.470260, GCC-ACC: 2.667286

Val epoch 6, loss: 0.320869, MAE: 5.625319, GCC MAE: 273571.500000, ACC: 0.556075, GCC ACC: 2.350467

Train epoch 7, loss: 0.409013, MAE: 6.560058, GCC-MAE: 235950.796875, ACC: 0.488383, GCC-ACC: 2.583179

Val epoch 7, loss: 0.319601, MAE: 5.762880, GCC MAE: 247329.453125, ACC: 0.523364, GCC ACC: 2.500000

Train epoch 8, loss: 0.382349, MAE: 6.335553, GCC-MAE: 236750.843750, ACC: 0.493494, GCC-ACC: 2.535316

Val epoch 8, loss: 0.329098, MAE: 5.744068, GCC MAE: 246114.218750, ACC: 0.532710, GCC ACC: 2.574766

Train epoch 9, loss: 0.391054, MAE: 6.371825, GCC-MAE: 240547.171875, ACC: 0.505112, GCC-ACC: 2.535781

Val epoch 9, loss: 0.431342, MAE: 6.641250, GCC MAE: 263072.687500, ACC: 0.481308, GCC ACC: 2.252336

Train epoch 10, loss: 0.366206, MAE: 6.132741, GCC-MAE: 240458.234375, ACC: 0.517658, GCC-ACC: 2.543216

Val epoch 10, loss: 0.289093, MAE: 5.306755, GCC MAE: 230929.171875, ACC: 0.579439, GCC ACC: 2.570093

Train epoch 11, loss: 0.371040, MAE: 6.111703, GCC-MAE: 245886.968750, ACC: 0.522305, GCC-ACC: 2.499071

Val epoch 11, loss: 0.224853, MAE: 4.638091, GCC MAE: 265003.218750, ACC: 0.616822, GCC ACC: 2.509346

Train epoch 12, loss: 0.352121, MAE: 5.917271, GCC-MAE: 240424.546875, ACC: 0.542286, GCC-ACC: 2.587361

Val epoch 12, loss: 0.313552, MAE: 5.439937, GCC MAE: 265255.250000, ACC: 0.593458, GCC ACC: 2.140187

Train epoch 13, loss: 0.370952, MAE: 6.118509, GCC-MAE: 243793.953125, ACC: 0.533457, GCC-ACC: 2.498606

Val epoch 13, loss: 0.275980, MAE: 5.115678, GCC MAE: 264716.781250, ACC: 0.621495, GCC ACC: 2.616822

Train epoch 14, loss: 0.361839, MAE: 6.007174, GCC-MAE: 238705.390625, ACC: 0.530204, GCC-ACC: 2.514405

Val epoch 14, loss: 0.229581, MAE: 4.732856, GCC MAE: 263198.187500, ACC: 0.654206, GCC ACC: 2.537383

Train epoch 15, loss: 0.324545, MAE: 5.707885, GCC-MAE: 237559.828125, ACC: 0.539963, GCC-ACC: 2.543216

Val epoch 15, loss: 0.257565, MAE: 4.992148, GCC MAE: 255170.828125, ACC: 0.612150, GCC ACC: 2.528037

Train epoch 16, loss: 0.327372, MAE: 5.650887, GCC-MAE: 246396.203125, ACC: 0.563662, GCC-ACC: 2.537639

Val epoch 16, loss: 0.235780, MAE: 4.821433, GCC MAE: 271474.093750, ACC: 0.644860, GCC ACC: 2.317757

Train epoch 17, loss: 0.326393, MAE: 5.654173, GCC-MAE: 239763.093750, ACC: 0.553439, GCC-ACC: 2.491171

Val epoch 17, loss: 0.296505, MAE: 5.171054, GCC MAE: 263958.406250, ACC: 0.621495, GCC ACC: 2.612149

Train epoch 18, loss: 0.326576, MAE: 5.665637, GCC-MAE: 238377.000000, ACC: 0.553903, GCC-ACC: 2.554833

Val epoch 18, loss: 0.257776, MAE: 4.968136, GCC MAE: 266799.125000, ACC: 0.612150, GCC ACC: 2.584112

Train epoch 19, loss: 0.286442, MAE: 5.320055, GCC-MAE: 240306.562500, ACC: 0.575743, GCC-ACC: 2.576208

Val epoch 19, loss: 0.180417, MAE: 4.176592, GCC MAE: 264414.312500, ACC: 0.700935, GCC ACC: 2.341121

Train epoch 20, loss: 0.305148, MAE: 5.296710, GCC-MAE: 246123.515625, ACC: 0.602695, GCC-ACC: 2.517658

