Train epoch 0, loss: 1.107617, MAE: 459.317322, GCC-MAE: 2139.046875, ACC: 6.064126, GCC-ACC: 21.678438

Val epoch 0, loss: 0.544191, MAE: 470.618866, GCC MAE: 2180.917236, ACC: 6.130841, GCC ACC: 20.654205

Train epoch 1, loss: 0.584832, MAE: 454.421295, GCC-MAE: 2145.576416, ACC: 6.398699, GCC-ACC: 21.475372

Val epoch 1, loss: 2.232569, MAE: 485.675140, GCC MAE: 2166.206299, ACC: 6.182243, GCC ACC: 20.957943

Train epoch 2, loss: 0.572539, MAE: 457.406311, GCC-MAE: 2149.476318, ACC: 6.338755, GCC-ACC: 21.320631

Val epoch 2, loss: 0.407044, MAE: 450.860138, GCC MAE: 2137.305908, ACC: 6.649532, GCC ACC: 21.355139

Train epoch 3, loss: 0.450562, MAE: 464.599091, GCC-MAE: 2148.854736, ACC: 6.425651, GCC-ACC: 21.517193

Val epoch 3, loss: 0.528781, MAE: 419.096863, GCC MAE: 2176.921143, ACC: 6.415888, GCC ACC: 20.261683

Train epoch 4, loss: 0.423197, MAE: 457.891052, GCC-MAE: 2140.840332, ACC: 6.685874, GCC-ACC: 21.571096

Val epoch 4, loss: 0.457785, MAE: 429.282745, GCC MAE: 2145.240967, ACC: 6.719626, GCC ACC: 21.271027

Train epoch 5, loss: 0.359492, MAE: 463.337433, GCC-MAE: 2136.504150, ACC: 6.666821, GCC-ACC: 21.542751

Val epoch 5, loss: 0.669712, MAE: 432.754028, GCC MAE: 2190.543701, ACC: 6.570093, GCC ACC: 20.000000

Train epoch 6, loss: 0.419894, MAE: 461.703918, GCC-MAE: 2138.992432, ACC: 6.524164, GCC-ACC: 21.780668

Val epoch 6, loss: 0.195354, MAE: 486.106079, GCC MAE: 2173.395508, ACC: 6.406542, GCC ACC: 20.098129

Train epoch 7, loss: 0.343534, MAE: 468.047943, GCC-MAE: 2150.802490, ACC: 6.588755, GCC-ACC: 21.522770

Val epoch 7, loss: 0.177252, MAE: 477.782257, GCC MAE: 2152.009033, ACC: 6.551402, GCC ACC: 20.635513

Train epoch 8, loss: 0.341253, MAE: 464.930328, GCC-MAE: 2148.138916, ACC: 6.600836, GCC-ACC: 21.491171

Val epoch 8, loss: 0.242152, MAE: 433.271790, GCC MAE: 2154.891113, ACC: 7.023364, GCC ACC: 20.285046

Train epoch 9, loss: 0.350889, MAE: 466.895630, GCC-MAE: 2139.743652, ACC: 6.523699, GCC-ACC: 21.647305

Val epoch 9, loss: 0.206564, MAE: 475.599579, GCC MAE: 2184.594482, ACC: 6.658878, GCC ACC: 20.116821

Train epoch 10, loss: 0.340940, MAE: 464.545807, GCC-MAE: 2140.945557, ACC: 6.730948, GCC-ACC: 21.600836

Val epoch 10, loss: 0.346815, MAE: 564.685364, GCC MAE: 2198.174805, ACC: 5.112149, GCC ACC: 20.219625

Train epoch 11, loss: 0.364571, MAE: 464.767670, GCC-MAE: 2141.647217, ACC: 6.741171, GCC-ACC: 21.759293

Val epoch 11, loss: 0.233670, MAE: 454.928314, GCC MAE: 2177.927002, ACC: 7.233644, GCC ACC: 20.378504

Train epoch 12, loss: 0.333127, MAE: 467.993591, GCC-MAE: 2154.478271, ACC: 6.619424, GCC-ACC: 21.348978

Val epoch 12, loss: 1.035041, MAE: 433.648071, GCC MAE: 2205.679688, ACC: 6.313084, GCC ACC: 19.593458

Train epoch 13, loss: 0.352627, MAE: 466.877869, GCC-MAE: 2142.620361, ACC: 6.750000, GCC-ACC: 21.491636

Val epoch 13, loss: 0.252085, MAE: 437.611450, GCC MAE: 2161.706055, ACC: 7.186916, GCC ACC: 20.803738

